Cluster	IC1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C70	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	C89	C90	C91	C92	C93	C94	C95	C96	C97	C98	C99	C100	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C119	C120	C121	C122	C123	C124	C125	C126	C127	C128	C129	C130	C131	C132	C133	C134	C135	C136	N1	C137	C138	C139	N2	C140	C141	C142	N3	N4	N5	N6	R1	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	R2	R3	R4
1	12.712898968736	12.425837448179	12.6390918546873	13.0454631007672	12.9204573823008	13.0741567336044	12.4885482312774	12.6655599591853	12.5058532208245	12.7934069037642	12.8681802737983	13.0683291752987	12.9307469433646	12.1732850734355	12.5888379303703	12.5013164198972	13.3550520162298	12.156745804616	13.0561920418148	12.6056336659597	13.1911051043323	13.4972289382942	13.0296648894065	12.8356506547892	12.9764390483483	12.7286240509708	11.576486533254	13.0948169318225	13.0036151325133	12.5200147517553	13.0080880101339	12.5094855060919	12.637992004804	12.9698077126128	13.1033280795449	12.3823845574666	13.2038114995977	12.6914587115522	12.7483751764104	13.0707653678981	12.8995730694721	12.9434004580888	12.5101635504173	11.2974069128211	12.1761149984114	13.0852652719197	13.1023148705469	12.6624535623637	12.9284444252406	12.7004958824002	12.326723385101	12.650377089661	12.3530826329899	12.8532133770281	12.8436886772561	12.9808186342166	12.0643165076873	13.5350395355537	12.1058801210943	12.7325576464521	11.7627409962577	12.2492102443708	12.1864482082507	12.7721967114483	11.904813754954	11.2645721112466	12.4857603709979	13.2998064211955	12.401313853263	12.6387252592997	12.4771909278854	12.6060695348563	12.7263442676846	12.8901298818073	12.079025339398	12.9651431856484	12.6582361123756	12.4964316016702	12.69960656737	11.9017087286629	12.9276090455704	12.8142245135892	12.6469715857851	12.8931845066996	12.6561846449758	13.3490736992038	12.790103941364	12.9470584484081	12.6664296576294	12.6166733252281	12.2801631289377	13.0846228477389	12.8102002197898	13.0887472741927	13.1020299599838	13.0199390155256	12.6701695215119	12.8871386799946	12.3040751011574	13.1114630882723	11.8655525849584	12.636803573519	12.7032715431782	12.7182944351414	12.7179344990979	12.7710902691648	12.7712805425235	11.9197772868346	12.5518843609154	11.4647964813948	12.0861143095342	12.2804745581501	12.3844574444795	12.9075827437872	12.4337573544416	12.6701451002027	12.8213453986833	12.8333201492787	11.8050947367997	13.0932299562951	12.7713335438623	11.589489435069	12.0465396036106	12.4184539620367	11.8074276541067	12.000760198135	12.0418448382204	12.8379997011415	12.7038207618282	12.6444994694123	12.0162105325755	11.998535172189	12.0309766597999	12.4340585612392	12.0923653922247	12.3089449717712	11.0196806578603	12.6924599248666	12.1351635132048	12.5966214176231	12.1847633088337	12.6883154447866	12.4440776983838	11.5102912129366	12.7446920968852	11.7466417323312	11.6665852691747	11.2517046201105	11.8390435955924	12.7542696840984	12.2029326635668	12.8265318354167	12.5197667118034	12.7939377444204	12.1410405198979	12.9092694606341	12.5976651993821	12.4661180991785	12.7384709312852	11.6620775495986	12.7616013011786	12.1914663373726	11.4735537052844	10.6654321267713	11.8785411277484	11.8324376278297	12.6414535760348	10.8949196929245	11.3288040944571	12.1294286471895	11.4725527931136	12.1782197678088
2	13.7776640173778	13.6179320517778	13.657735926195	13.140969965445	13.9147325293686	13.081404824113	12.8925733281339	13.6517820063133	13.3996845081759	13.2810970722317	12.9402982722467	12.4491043281235	13.9011966477016	13.6531230284917	12.4868933429551	12.2466057014666	13.6508044287992	13.5565340007392	12.7232431318808	12.462201715348	13.3260623886162	13.2146494571131	12.8372171392214	12.4386570579038	12.2529175980408	13.1435229274426	12.106388543903	13.2102149045514	12.3768747434026	13.5377540155088	12.9599044964118	10.9229244185941	12.8685728010535	11.506216481097	12.2419602531138	10.1324171312543	13.0506885803776	12.7048132288343	12.7301582460009	12.6916852809104	13.5925474638467	12.4112440099911	12.4517374872921	10.3684660916737	10.3672987203383	13.2416817957899	12.8397734974748	11.7201720958927	12.9565012359058	12.5949326072469	12.8536392830163	13.4943190231888	13.3842876254893	12.6383792255839	13.2439433140972	11.8909114280886	11.2965662555176	12.1881052564272	7.92120735895007	12.8241726640173	12.0257703806549	13.1693060815136	12.9749820818994	12.6753587752843	11.7730479773429	13.6554442841245	10.2373226173161	13.1527895020011	11.8669200219766	12.3397259498806	13.0440917294147	12.1665999196242	13.5139277822737	12.3762262419512	11.7146050704274	13.2660312628405	12.1082705522988	13.2087093005075	9.34941695887385	12.3088253673273	12.8730763888219	10.2785881725808	11.1892724953321	14.039836812973	12.9441826060626	12.6665962000957	12.1510218127481	13.1894622621288	12.2835770506228	12.958053650912	13.1317155047828	12.1757113439909	13.3978498381821	12.841879135557	11.8458153399842	11.9733051220422	13.109602643489	13.4411346684421	12.7915127805054	11.9160849431763	12.7896276046599	12.6240603185092	12.703552805221	11.6999449938893	12.7456618443161	13.2790173172508	13.0669840406347	12.0117893157777	9.94771101005155	10.7042370911634	11.363496823967	11.5681407864305	11.9708192803557	12.1335510414691	12.6243361959288	12.4105272246812	11.7131336223662	12.44289636468	10.5186513597936	11.9277564613625	11.134040828829	12.4188848178884	9.39370733086798	11.054121855169	10.2748629806683	10.6584674048754	8.32001597797273	13.0653083127432	7.25806317780253	12.7877669232674	8.48116895602869	12.4582530601322	8.32079666312404	11.1799505425101	8.49917134878628	12.5504638968889	12.0865020156794	10.695290959554	8.12649596320458	11.6615162588681	11.5297300449626	9.85199192693945	11.7509940131922	7.30798016807327	7.6518633735863	6.18395983892817	7.41011243159112	5.58260430991267	8.71121748369505	6.79500222372534	4.27283095570565	7.4873464369438	9.85126131602369	8.898160615578	6.52056918640694	6.50245502447841	6.62775651490787	10.257463482957	6.66590314255905	6.97619160185354	6.38964035427365	7.51739896784805	8.38330516326383	4.17198025147999	6.93886040999739	7.68211926115555	9.96200716835206	7.71699324984383	4.22344532578258	8.3708613922896	6.69475412789617	7.24378870507486
3	10.7184118627795	11.2338292330883	10.6242645543674	11.6876977793522	11.7818279180589	11.5394517446594	12.0730870481016	11.597039511837	11.6404021583355	12.0080427376427	10.6960528950308	11.2943921428189	12.0445263523837	6.2577653690205	9.8473822630308	11.0588788184529	10.513330224183	11.4855956925678	11.2600727804164	10.970077490731	11.059150554849	11.9351997788833	11.2770030324911	11.3486129094795	11.2028423207114	10.7730449075525	6.81043064263513	11.5318876615304	11.164051067766	8.63711282377893	11.9300054430255	10.9960739873131	11.4075914672972	10.7704883882767	11.2579894114138	6.27887285878342	12.2528215559045	11.5970797969934	10.1978101818547	11.8507932978799	11.7259056264741	8.9004220885799	8.93825740294531	8.65212934186663	8.17029502986189	10.1641800256571	11.6644677404324	10.6742153934778	11.1560210157221	10.7089039414932	11.5061622961278	11.4654699054229	11.4078663306228	11.8619722807012	11.6646152799133	11.691914802701	5.38331204771432	11.1080219619084	6.16657433567569	11.5345792337618	10.1085194859856	11.6731610309341	11.0538421844691	11.0372892187852	9.16260475843268	12.4355732761185	11.3136466939891	12.0445348419841	9.6197070882724	10.6763244290494	11.0835794885769	9.0369635046284	10.3809285209797	10.6202435996275	8.0386180133849	11.7163085490211	11.0086022845098	10.0291247785989	7.1387747809048	7.28724108477744	10.6483957903961	11.8271543767952	10.3182824993731	12.1864229860695	11.2619138020554	11.6834379777799	11.6241606919876	12.135128519562	10.965689374695	11.8170093081305	11.1419103691806	10.0771139516507	10.8294584763129	10.4673377014431	10.804885294086	11.5716021392944	11.5095314054236	10.3869528242982	10.0315309985607	9.99182996055506	11.3785292123637	11.822055813971	10.8312421966205	7.70676582586163	11.499955167505	11.8147802978854	11.8208946892829	7.65597685090045	10.1048155412059	6.23052942624593	7.98249316195042	6.73742389566742	7.04857767504163	9.27031507089704	12.0266334652028	10.8460822734551	11.1831962570389	11.1291849699041	5.95520864934823	9.78747139093818	9.82555651436343	9.8750530560685	7.24978071534874	8.10928462594243	4.67859653806764	7.07837671877245	6.51205762533614	11.1494565239288	4.8830542496048	12.0476707559453	6.33459474475554	8.22827991571649	6.79985436358001	11.2768120901993	5.73137821786688	11.2014204551345	6.68634441725657	9.47021215248178	5.93171126138927	8.86090135165447	9.39359856903022	6.86088643024334	11.9361688815147	5.96813093860018	4.9142339409926	4.82791112946782	6.60610157007772	5.76895686048588	9.08229926510528	5.10693321222222	8.06437799779559	5.15956513380737	7.70556487067127	11.7748579435149	5.1986305882643	6.0069481206321	6.44844065941582	8.78760882213515	5.47769314649459	6.5025306562846	6.32890510685733	6.14549955072692	4.95269856432685	3.46635226083333	5.31985164837328	4.85575940233887	8.58829683943916	6.64980437991495	4.321924269231	7.69447140717207	9.51205478625052	8.01924957107848
4	12.5224900321588	11.2847016828955	3.62238255697856	11.0639145467582	7.53543135322024	7.13072359943885	9.3936799610253	10.5062452566261	3.96770713560546	6.05514050668564	2.66612159021497	4.4218626188416	9.89354106314234	7.33431591742489	2.22531901098058	8.15635654598124	6.09429687159159	8.23455533922345	11.499606944865	10.9608694894479	7.04116911718442	1.46410580759292	7.62696600342149	3.07026841954297	4.19628114729643	4.74675257068123	12.163972447297	3.56357636309906	11.5726776326899	11.046706517394	11.8964076040276	7.80181852188021	5.48203717380528	7.7626928708643	2.60602361093841	11.0657315074494	8.82446572791784	6.38796063353559	12.2516107945781	7.41924548558769	10.9038174309145	12.341198530056	11.7745002102702	5.02418544732563	10.3442977397194	11.5673928235429	7.45955222454792	7.46205584195639	11.1615129272645	11.452951334075	7.19304099414931	4.98133352809357	7.78421258697181	5.87043379551493	9.83176685243837	0	11.4339099251983	12.0727474591133	7.00842926622462	6.51642711673411	11.1345247177325	10.7127203119677	10.4972789829973	11.2309496419202	12.255576291216	7.95935373217299	7.33972667610566	11.5342783721018	11.9418067238065	11.7600986709638	11.714470881976	12.3286131761778	7.7614816441906	12.1287334738278	11.907308125215	7.25408350219399	10.6703351169381	7.66768029468986	11.4226251695681	11.8396693152235	2.86186701750085	5.93633728645464	11.9702885560249	11.6273270757801	12.396336890068	11.3155594194474	11.8343628794015	11.3803518439085	4.00418606616895	7.85659221166784	10.4167094351516	3.12636557748113	12.2943513398399	11.4352352151903	11.8488353519553	10.2903089411362	11.2808187033783	0	8.16708469466777	5.99576480213362	12.236382460928	11.486056861543	5.59990290030893	11.3105670357282	13.2812933818114	10.59282315968	11.7200820604556	2.12807417764339	11.7876093294422	11.8604018050803	10.9354897322779	11.6406407120775	10.5794851881751	2.22845985065302	11.7626546663463	11.6294372510256	11.5640772757279	11.7236236522386	11.8697908827439	8.62338705394844	11.3509358536505	11.4474481143461	11.7043963098957	11.7576305656965	11.7859969074681	12.4554919924904	11.3665129521224	11.8680905844025	12.2714674963951	11.7871740346397	11.2962367049915	11.4438699455089	11.651919115647	10.5319855014028	11.0441993731316	11.6307340868231	6.28534441500496	11.7222350898252	6.3279854796892	11.6827283081309	10.7121784880024	12.7325246061873	12.0439898330713	12.2741875554471	12.2447296135069	4.21200893409383	9.92694239769444	8.60410716640896	12.3899237719517	7.58076897965252	11.8826721232757	5.4837136481961	1.80052073575202	8.03587619930912	10.5459198906408	9.25943122664381	12.4090568764549	10.0504670028172	11.8852870603998	11.1121313309309	11.5189292504906	10.0644145572746	11.6429737724229	0	8.69766385912323	6.77525723305734	10.8012756036687	11.1455862486168	8.16272500552421	11.7768088093198	12.0544897635499	12.4559642950244
5	9.85170919744264	8.04970693966	9.05029947644633	10.4905256656992	10.347877825546	8.91068748828985	8.79113700746673	9.93139822688856	10.0734303288562	8.60083265267628	9.66289262207487	10.914311282262	8.92059370117264	10.6612975945644	11.4497404539762	10.2158461204353	9.28070862414233	10.4339676164612	9.43646458105329	10.2247586482186	9.79389973752859	8.37708292690029	9.06364371196326	9.74481678170527	7.07561532511963	10.5313302161514	7.82242841967435	9.94260404388573	9.11716442271995	10.9474216300091	9.51366597876741	11.2115571102747	7.09991636528319	8.90388383858987	8.90309827450597	10.931052732535	9.19320430380929	9.76271292957361	9.51992493525507	9.77074710069637	10.2581656687065	10.9751741755955	10.2425927056322	11.071517430886	9.10992824697206	10.3822795707726	9.51304513447086	6.23512492049872	8.81384420917181	9.60054614544167	9.1293367906867	9.39519155529315	10.7743705432312	10.3733621850067	10.1944328323946	8.73126372896446	11.2696453854893	9.07416398147534	11.0474972971423	8.21574733442141	10.8464685635302	7.11552889653964	9.14502378750194	10.4902006715408	10.8467672027159	6.59809007787512	8.98292635494517	9.49387584236871	10.2608553877358	9.47309531402934	10.8659800211459	11.3362268525548	10.4866153349865	10.1249485949391	11.3731361910801	9.92058992212479	9.13436441417064	9.64412511395809	11.363765007722	9.43425341745942	8.46751626475329	8.7706086108145	11.0891975017616	8.46791943995809	10.3201205116319	9.27170681919046	9.57573967154658	8.93618016021502	9.07879764694621	10.1787143495202	10.897664502091	9.2140144178282	10.0205670735649	9.2879427528901	10.4289074154121	10.0606637569055	9.47730277086922	11.4383578048273	10.8349881170833	10.9998556753158	9.48157591787101	10.0880765234056	9.1516538374051	11.3113571463457	9.13381029562442	10.2157990492759	10.6064339076278	8.85410758884882	10.881986606212	11.7507594059943	11.1587028107654	11.3849277080077	10.6079428345202	9.15088702080648	8.95787842967462	8.69563063690325	10.0521682628317	9.47528333704916	10.740195184212	10.181241784794	11.0783819554785	8.89782461005052	11.7207115921448	11.4361579967208	11.3287466815355	11.6439119362384	11.2510815802924	10.5874570770824	8.97344365868911	10.5531697735162	11.6766462704602	9.34951548887461	10.2005783532037	9.51333241227231	10.9014959413401	10.1908162244043	10.4991487699907	10.3618273967316	10.1641542444296	10.6861159429594	10.3869031742153	11.0457207424688	9.40389829254065	8.48645612488994	9.976035967204	7.94491427788674	10.0553492034986	9.8330104014396	9.98808218434142	10.4644938435817	11.2494755061502	10.3919459947742	10.02012756805	8.43029027830381	9.72985789185555	9.38512726100139	10.0932639908416	9.90999363336709	9.2881131508231	10.3025271156876	10.5091097836119	10.3083448106542	10.1390539807378	7.48848451121877	9.31620452456236	9.96061282905734	9.89491429926417	10.9212090954565	9.01241595206942	10.864575984336	10.1384342415522	8.78956041964967
6	13.9036493467869	12.1435649744612	13.4564545274827	12.3034325875093	7.3305584000308	12.9241407222186	0	11.628062714923	0	7.83769100042856	0	0	0	0	0	0	0	0	0	12.4631156198924	8.00028174886153	13.6181606372257	13.2043648118781	13.9920089214283	0	0	0	7.41557277507906	11.4381368783648	13.2379105196887	0	9.49050996341754	9.96602952197446	12.2572110309955	0	12.3683182004393	12.0432802458545	7.3437631221496	11.75595159817	0	0	12.872772980198	11.6657533855158	6.73159057159445	13.8660850105228	0	12.2039811080516	7.66853047018635	0	14.0407948498658	12.8944767499154	7.07403439421256	6.09444722169991	6.45285896471381	12.630967822462	6.57531233068744	13.2963814046167	7.29884157311203	0	0	11.836523809651	12.5692978799232	10.8877765629193	11.8214750500965	12.0025091487108	0	0	12.0916105884189	0	11.3302166426784	13.4164228214958	13.0361736125535	14.1690457478171	13.7763723705313	12.9821557985509	0	12.5915924693825	14.0820924770169	11.0292803241046	7.16269343221124	0	0	11.2929945034556	11.9960638548991	0	12.5590782907325	13.1426926343312	12.837517558837	0	12.8677169651355	12.7925585011116	0	11.8995117588461	12.6762413992609	13.3959865802142	11.0668762673233	11.837186385159	0	13.0657880368121	0	12.3015962198954	0	0	13.000163773222	12.742271536417	13.1273850114444	6.04832338653781	9.55318768294197	11.9427160873613	0	11.7069966870846	14.2774348881055	10.9388444574662	13.0042345139133	11.8979361886895	0	11.308595006155	13.3087514135869	13.5186998679468	11.4006179774695	11.9211380097684	13.5869007588306	12.3047477373632	13.6910531893136	12.1143377407359	13.5425869529338	13.2938796841502	11.1141197173302	9.86632074405991	11.066143021358	12.4736702398108	12.428124590057	0	9.26741875225125	12.8384692599155	6.85412035608782	7.15583017155653	11.5660159718367	6.78175312216434	13.8511526744838	0	12.5696206766887	12.1322715794115	8.2585189247113	13.0837784727065	0	14.2224198439552	8.36053986165181	12.7540857821979	7.24298351610969	13.1989284167827	0	0	11.9014476926857	14.5244658074954	12.3895130366431	13.5100928470775	12.8659246124084	13.1246803124825	11.4644589613976	13.0655659167501	13.5296379632527	12.9556608039754	0	12.9415905328208	6.76633013095037	11.1751877399777	11.6367378930315	6.34553831007001	0	12.3735258719761	0
7	9.71673373715268	11.0303084867852	12.7009619936436	11.3708072631988	0	0	11.2391450054364	11.2584541470788	7.29305774866259	11.9126910268615	8.52501176311067	8.47130941434873	11.9532797916271	10.5082404591989	6.61985314739117	9.06837523425018	0	10.7596219173528	11.0423228576699	10.8600549324746	0	12.518144139723	0	11.9439249883601	11.0677570150834	5.21023299009585	11.8937186536625	0	10.5195183165481	13.4674565352196	11.7400800855536	9.44221782017603	9.36319298376537	0	10.2587662307394	12.651471070474	11.9722151704383	8.55715732373765	9.68620285308113	11.2576589118817	10.5979221863372	13.1930370900879	13.0265113393227	9.35356589621365	11.0662237639424	11.9770616421129	10.3787933721153	0	11.7527235072388	12.3036808746125	11.3937497456673	8.99506046703272	4.88215391728701	9.19775729523352	13.1547057896055	9.78022806574314	11.0693222084813	11.6637848972629	10.7824740928288	9.33407212092874	12.1434087256129	11.571795298114	10.2321690631652	11.5014540736313	14.1254255789965	0	8.67940972242107	11.6580730988061	11.9115080879129	9.60507202417793	10.9358133062045	12.5515664841558	11.6366472757527	0	12.0975712947246	7.97229057308727	0	12.026021939303	12.7442052538788	11.8427392528879	6.54086421622304	11.5034431544962	0	9.35834351034479	7.48010352081757	10.1576248358365	11.3670324574022	0	11.8629046420292	10.7421325624525	12.5468341856071	9.68466096921464	10.679180973184	11.6691286621726	10.6703021700785	7.95652136333312	13.0861129983792	9.31081724363293	11.1858231944485	0	11.5462095958335	11.757852497763	7.26040209302579	11.7061678992937	4.8923910259134	10.5652353905544	10.7403204647928	0	12.1071843758772	12.1834554985646	11.1143605173998	13.5270468702524	11.8350003097795	12.9331595037991	10.3891257966003	8.29471263736915	12.1893211335307	10.4519631781891	13.8173084729659	11.2057932493972	11.661844887663	4.99095486039699	13.085645067682	12.8146245205347	11.9967382762977	13.1429191426117	12.359664467352	9.991706068454	11.4316386283794	8.326474430193	12.7486331398954	10.5748205565619	10.4706995414237	12.3818862804006	12.5019341904454	11.3290899509589	0	11.846461974491	10.5285908526293	11.5680891241588	9.93314474680857	11.4358108777878	12.8779570041767	0	0	6.6700188442644	13.6714083786629	13.6071245300698	12.256388571829	10.6371954233607	11.135286033479	0	7.63952159951083	11.3386918198767	13.6274654870689	10.6466397076024	12.0140518632407	12.060000082304	10.1966881816071	11.1111161037136	10.9419352584388	11.9909584047496	11.7505143907471	0	0	7.97716541934962	10.1412769497031	0	12.417886789032	11.8068637424855	12.2782606874619	12.5186654485235
8	9.40325318883006	10.3896711132401	8.74596304560805	10.3649385761442	10.2296402916012	9.00485759257089	9.77009947036053	10.6918912777606	10.6768420599709	8.77271963677729	9.30481472946098	9.88860472489616	9.34952370347285	8.17101268282892	9.51387392684575	10.3719015324876	7.98250233090762	9.81646453815848	10.2910700550782	10.261218798315	9.19280868754491	9.60060300021963	10.267778886757	8.67814027586335	11.0923421496018	10.3388943919928	6.14157143543825	10.3291872932227	10.2357787479716	7.82185013122533	8.84178551216157	10.1566724873634	8.33294194675998	9.4234004020094	8.60309351325214	6.44775645340889	10.3910358959851	10.3646290680663	9.96754729715457	9.9387105099287	9.68244560393229	9.14925056055661	8.7560779138311	9.56695125020745	5.78414047436901	10.5592924878076	8.53714376742808	9.40844392903802	10.1870698646077	9.60094073478147	10.1578593313835	10.7042801328226	9.76788041391285	9.50306211240008	7.70255125236504	9.24151815487123	6.68883015842503	9.89132835943702	5.39232896091628	10.0464492463386	8.36100890410125	9.45632986537878	9.92558549852085	9.23145513015399	8.28033235671328	10.0064652902273	9.91982514519358	8.65637791112333	8.56389471150469	8.57069276705682	10.0748256813689	8.04823539170528	8.95828885382459	9.08132226562495	8.43191355744753	9.91433747597419	9.35631144716055	7.6519142311598	5.61422587135019	4.52697563866046	10.3426751646852	8.43157423297009	8.17196585944136	10.2961798995397	9.1809870222623	9.54085285843636	9.80809952193237	10.110149202062	8.99187407860247	9.27928653010563	9.82776441124136	8.66130822978604	10.077708784361	7.95951061717035	9.32538165742508	10.1182871079845	10.0144648260322	8.24422723747487	9.2898000230193	8.15297274629756	7.46625127167088	9.88133114423687	9.71254939384169	7.68184524613581	8.53263880166427	10.7446991754637	10.4629226480316	6.83504744989545	9.21723322334543	5.40651647455537	7.88446509639638	7.16155107124788	6.55122241868405	8.48039887974687	10.470817561457	8.15757337460781	9.0998696175359	8.55923249307028	5.84267697809242	9.17287683975563	8.92782859104476	8.04472647482464	6.86673217114833	7.11904540044237	3.85185353488994	5.97395053169153	6.31735442854989	9.52267119638566	3.73327755886778	10.5058415082994	2.54004565284446	6.0950504943396	3.521445212385	9.47333785271265	5.01787416663659	10.4850572246132	3.73047373462296	6.68010176464081	4.19284751698716	5.21935324773654	5.55238576307914	5.90305704742753	9.04572107439241	3.54893358254326	3.43303371165047	3.55510170721002	4.88157761403578	4.37526577506804	5.99027634855184	2.47872503544435	4.79957612212999	2.90859723484576	6.35924902728732	10.3543742569999	2.90834695355671	3.40654519776453	3.67187488842116	4.43268324997218	4.80378163338612	4.67381861021774	3.20210782675282	3.28493280084494	5.12636865378724	2.8421307116731	2.9933285824009	3.70137660938996	7.64968878512381	4.10789372805315	3.15692593997373	3.77536939804103	4.37003130631944	5.49924888243456
9	8.69093155019053	4.41465170599901	3.17652034830495	6.46251258000437	6.28159865134449	9.24246153304099	7.55626461450973	7.90976439109348	8.01734757696549	6.13714394487777	6.16233664118436	9.87892793290666	7.43417929287306	6.70062111512526	10.5364667624649	7.82947238818753	7.06401666368963	9.89329168915742	6.21459016773688	8.64022300316995	6.43242157641096	4.87758688241678	8.1406642770967	9.83333093792159	6.48810598141928	10.0750868699867	10.857388474091	4.85544663776009	8.35810227945066	5.0866270896055	7.25291402461314	9.32121986136938	6.3395160058389	6.56748211515203	9.01206520737174	10.713625115103	8.27900151164868	8.28723621663709	5.0705014429454	6.71377043291172	6.99121704114729	9.91648693830782	10.4203472350676	9.66764792390722	6.41477897584445	8.58437850804403	8.1415716309287	6.93275902007245	7.73961889180807	9.57320136593952	3.65801190125262	8.30868800199665	9.9304951690403	6.13482661984308	6.7514473362146	7.7719975718786	10.4214410809324	8.59216735984953	10.0990127246224	8.27824038504699	10.6516579925544	5.38763867013706	8.47901957537522	8.42537504273793	10.081035972385	5.9298595784981	8.72257511649686	2.46563570914395	7.68028738396715	9.22698434872181	10.3098290555524	10.3076632932223	5.93476828638996	9.14547844793842	11.5444645888003	7.19865320838218	6.27237126828502	6.76895314330851	11.3130636113001	9.46768515262956	4.52113282633595	4.72076543306508	10.691264026467	7.16981547791875	7.49460027779651	8.25173531664081	7.70966076438682	5.55425295100412	8.08847242709297	6.96278168978649	9.63234545350901	5.25232139086488	9.2083118845114	6.03064846675866	10.1762529191748	5.5552949658931	8.80253945393032	5.26371876298315	9.79423571790836	6.06975846573055	8.85748841351962	5.90849407194379	7.7982798212378	11.379810885058	6.65864400819413	7.74386587728509	7.83490035861985	5.26938761690409	9.1848681102965	11.3504571555614	11.4464231834409	10.0716542387989	10.0986506722863	9.43278108022206	9.2302477232576	7.44104686965904	9.46610217101763	7.52583390824045	11.2332704321599	10.4734609138432	10.8711275693433	7.95612688903794	11.6018956374096	10.2874715543833	11.6034944940552	11.2257204244694	11.1185006632653	8.41040844854382	6.22811839178933	9.23633946909956	10.1128812397383	6.18336113990702	9.91413824002892	7.79084988837701	11.6090109733052	8.12701669433866	6.87001703207022	8.17082806480331	7.7853630646384	9.84561068301318	7.69910296292299	10.8978564100858	7.25932077617362	6.43021647608608	9.86853624901363	7.24283732022873	7.46968822852881	8.59736341537145	7.8508130919499	9.07309808328468	10.5635899252887	10.8472438563577	4.82515160235155	6.37206663084006	7.51900255793944	9.04499088651579	6.89984312596766	8.18710102016572	7.8593867722675	7.28808239352014	9.99536398967459	9.62478129602807	8.15720800718402	5.58399126000391	7.41595025834866	3.78714946594144	7.42116494551286	9.72198977027291	6.25653601068337	10.7095496737041	9.91994791211277	9.19899496985038
10	0	0	0	8.71073756833067	0	7.10160805850212	8.37347421446529	11.5264454427253	0	0	0	0	0	7.42383025084048	7.32966181492899	0	0	12.2116054450693	13.03659262026	12.8265663619811	0	0	0	8.93957921431469	0	0	13.3801349878209	0	9.23646870082494	0	8.49573513035061	0	0	0	8.21247206648851	14.4164142443364	0	0	12.5522392025578	0	0	11.6338761712996	0	0	0	11.2663004860651	0	0	0	7.11290859962941	0	0	0	0	12.7147027280134	0	12.9661286869917	0	0	0	10.9733888505416	0	0	0	0	0	9.39358351895492	0	12.1279008457494	0	13.1309759018777	0	12.5737655139269	6.74079267227768	12.37885838327	0	0	0	12.6161927206388	7.37286506011259	0	0	14.0889472046188	0	12.4166286580257	12.5311206795677	12.037522931723	0	0	0	7.93180122841924	0	7.55359089832784	7.97045106049362	6.49409554494063	6.83099048124926	12.3855982058359	9.02685537634458	0	0	7.97424248868109	0	0	12.7105115807478	0	0	0	0	0	13.228898337086	8.02746372340858	13.4744930818768	12.4717971271317	0	13.6100743718502	0	0	9.58340249498809	13.2388435719378	13.6637904554684	11.9682455857061	0	11.663967195236	11.7479831403019	12.1360554913712	13.0182488706882	12.1645172961372	0	8.66480280328828	8.77774845997228	7.63328588725897	0	0	0	13.1572016478989	12.0646855138111	0	11.1089033758189	0	11.7093552618848	0	12.4730182258449	12.9021320066736	0	0	8.69672415955733	13.6480856465695	14.1971014818147	8.03232128705788	0	0	0	0	13.5050150735981	0	13.9809812017953	0	11.9951276168805	11.8707461510178	0	0	7.26931372634803	0	0	0	6.56483541701035	8.27523990174459	0	0	0	11.5086316757044	0
